ID,Minimum,Sigma
Primary_1,59855.61934,10
Primary_2,59858.74913,10
Primary_3,59861.87831,10
Primary_4,59868.13698,10
Primary_5,59871.26656,10
Primary_6,59874.39601,10
Primary_7,59877.52546,10
Primary_8,59880.65487,10
Primary_9,60584.77886,10
Primary_10,60587.90834,10
Primary_11,60591.03715,10
Primary_12,60594.16722,10
Primary_14,60603.5556,10
Primary_15,60606.68486,10
Primary_16,60609.81436,10
Primary_17,55837.42981,5
Primary_18,52964.611756,5
Primary_19,56569.7125,5
Secondary_1,59854.05354,10
Secondary_2,59857.18384,10
Secondary_3,59860.31261,10
Secondary_4,59869.70114,10
Secondary_5,59872.8308,10
Secondary_6,59875.95976,10
Secondary_7,59879.08893,10
Secondary_8,60586.34312,10
Secondary_9,60589.47234,10
Secondary_10,60592.60144,10
Secondary_11,60595.73123,10
Secondary_12,60601.99063,10
Secondary_13,60605.11938,10
Secondary_14,60608.24859,10
Secondary_15,58389.4706,5
